system:index,B2,B3,B4,B8,NDWI,SWIR1,SWIR2,latitude,longitude,.geo
5,4087,3488,3278,3268,0.032563645392656326,1577,889,-27.14814465963523,-109.37571193878945,"{""type"":""Point"",""coordinates"":[-109.37566958601651,-27.148105618296785]}"
67,2554,3014,3600,2995,0.0031619237270206213,2690,2004,-27.113389240140094,-109.35210668095527,"{""type"":""Point"",""coordinates"":[-109.35215478783812,-27.113374629782708]}"
72,3549,3251,3232,3046,0.03255518525838852,1674,808,-27.093716965595934,-109.37579210283558,"{""type"":""Point"",""coordinates"":[-109.37581867504034,-27.093716727546713]}"
75,3161,3265,3706,2640,0.10584250837564468,1856,964,-27.14104891673165,-109.37874046132306,"{""type"":""Point"",""coordinates"":[-109.37870099003845,-27.141090416311222]}"
82,2664,2335,2262,2300,0.007551240734755993,1495,891,-27.107983449731034,-109.36842485765796,"{""type"":""Point"",""coordinates"":[-109.36843084330003,-27.10798203125569]}"
85,3423,3191,3300,2769,0.0708053708076477,1371,776,-27.12669049327965,-109.37037277207449,"{""type"":""Point"",""coordinates"":[-109.37033571544235,-27.126649573520403]}"
109,3445,3023,2936,2685,0.059215135872364044,1143,675,-27.142573804968954,-109.37791129385074,"{""type"":""Point"",""coordinates"":[-109.37794662509717,-27.142532915492595]}"
138,3963,3545,3484,3272,0.04004694148898125,1628,918,-27.137224688505185,-109.37586983866935,"{""type"":""Point"",""coordinates"":[-109.37582781084555,-27.13723760374867]}"
145,3426,2919,2696,2898,0.003610108280554414,1083,673,-27.104815209913514,-109.35989766162162,"{""type"":""Point"",""coordinates"":[-109.3599168808175,-27.104852689593915]}"
240,4452,4211,4768,4170,0.004892017692327499,2830,2219,-27.14852020477779,-109.38478752904793,"{""type"":""Point"",""coordinates"":[-109.3848079087601,-27.148513254075045]}"
268,5893,5734,5911,5719,0.0013097005430608988,2342,1087,-27.13749113758324,-109.32935592203454,"{""type"":""Point"",""coordinates"":[-109.329316110742,-27.13747913076085]}"
280,4468,4250,4574,4193,0.006751155015081167,3058,2057,-27.090639196736536,-109.3750297241179,"{""type"":""Point"",""coordinates"":[-109.3750220323547,-27.090626092746614]}"
330,3225,2886,2857,2691,0.03496503457427025,1187,579,-27.104108529130205,-109.36121914003857,"{""type"":""Point"",""coordinates"":[-109.36120998812484,-27.10414033340516]}"
354,2679,2312,2178,2039,0.06274420022964478,579,262,-27.14763350933286,-109.37834271509993,"{""type"":""Point"",""coordinates"":[-109.37837566582314,-27.147617365905557]}"
367,5497,5434,5932,5410,0.0022132054436951876,4057,2806,-27.140208867071486,-109.33779038287132,"{""type"":""Point"",""coordinates"":[-109.33778364805785,-27.140234954761247]}"
382,2465,2199,2158,2082,0.02733006328344345,597,245,-27.14792289640385,-109.37995293112041,"{""type"":""Point"",""coordinates"":[-109.37990999761355,-27.147894041477674]}"
418,3046,2682,2605,2368,0.06217821687459946,669,558,-27.14313510226314,-109.37961840927909,"{""type"":""Point"",""coordinates"":[-109.37963160495552,-27.143125237058722]}"
422,3184,2660,2486,2268,0.07954545319080353,764,333,-27.13958396588049,-109.37694554481061,"{""type"":""Point"",""coordinates"":[-109.37690285891942,-27.139540164499902]}"
434,5523,5572,5963,5482,0.00814184918999672,3428,2321,-27.14559552845127,-109.37383175491036,"{""type"":""Point"",""coordinates"":[-109.37383215139482,-27.145594074476573]}"
465,3112,2730,2654,2529,0.03822019323706627,1203,597,-27.097342045396474,-109.37705089492896,"{""type"":""Point"",""coordinates"":[-109.37701977925288,-27.097375780184166]}"
