system:index,B2,B3,B4,B8,NDWI,SWIR1,SWIR2,latitude,longitude,.geo
1,815,501,320,214,0.40139859914779663,122,96,-15.931234038872992,-5.741097604794653,"{""type"":""Point"",""coordinates"":[-5.741054304091934,-15.931237085925007]}"
3,1144,822,654,521,0.22412508726119995,424,345,-15.93592461358803,-5.740835212529585,"{""type"":""Point"",""coordinates"":[-5.740863981901347,-15.935916572279268]}"
15,802,534,381,344,0.2164009064435959,340,236,-15.938571611891943,-5.736780213861973,"{""type"":""Point"",""coordinates"":[-5.736817226887033,-15.938614581767117]}"
16,796,540,400,493,0.045498546212911606,443,279,-15.990751089635667,-5.71297492636933,"{""type"":""Point"",""coordinates"":[-5.713010695752073,-15.99075848309762]}"
17,1966,1738,1537,1444,0.09239471703767776,1089,882,-16.00061187195397,-5.679120378697337,"{""type"":""Point"",""coordinates"":[-5.6791518844166395,-16.00060462507833]}"
52,1133,917,912,845,0.04086265712976456,1217,1122,-15.937505248102537,-5.731945525266031,"{""type"":""Point"",""coordinates"":[-5.731964804942442,-15.93752226763402]}"
71,818,582,440,535,0.042076993733644485,571,387,-15.941565040414213,-5.713964667786129,"{""type"":""Point"",""coordinates"":[-5.7140022779657995,-15.941605583817651]}"
77,811,507,322,205,0.4241572916507721,119,99,-15.931417375482447,-5.74128125199852,"{""type"":""Point"",""coordinates"":[-5.741323753105011,-15.931405009167596]}"
86,876,658,543,606,0.04113924130797386,669,507,-15.993467575064885,-5.678305207957237,"{""type"":""Point"",""coordinates"":[-5.678285773683458,-15.99345842165413]}"
88,1058,721,548,430,0.2528236210346222,333,255,-15.92973068045443,-5.743174566896807,"{""type"":""Point"",""coordinates"":[-5.743218697482278,-15.929692384114961]}"
92,1126,780,636,482,0.2361331284046173,395,334,-15.932817745807718,-5.738366180709962,"{""type"":""Point"",""coordinates"":[-5.738403254608153,-15.932812629334155]}"
140,854,584,417,337,0.2681867480278015,312,212,-15.934191207619525,-5.733678712758481,"{""type"":""Point"",""coordinates"":[-5.733681294196614,-15.934208291634247]}"
172,904,674,539,576,0.07840000092983246,537,413,-15.994829900446058,-5.7081482971391875,"{""type"":""Point"",""coordinates"":[-5.708106802018371,-15.994821776081023]}"
