system:index,B2,B3,B4,B8,NDWI,SWIR1,SWIR2,latitude,longitude,.geo
7,1473,947,560,435,0.370477557182312,360,261,-27.14059834259688,-109.30993858162665,"{""type"":""Point"",""coordinates"":[-109.30998791182306,-27.14056322218517]}"
13,1339,1000,824,725,0.15942029654979706,732,581,-27.143165725756678,-109.32079645012085,"{""type"":""Point"",""coordinates"":[-109.32076338633736,-27.14315886790592]}"
17,1143,715,517,384,0.30118289589881897,340,274,-27.148267401036225,-109.31718873367558,"{""type"":""Point"",""coordinates"":[-109.31714666772758,-27.148305440718723]}"
24,1206,765,550,478,0.23089300096035004,333,223,-27.146168769998503,-109.31530315246245,"{""type"":""Point"",""coordinates"":[-109.31533816032717,-27.146175117802475]}"
63,1163,724,507,396,0.2928571403026581,286,199,-27.14756782673746,-109.31154896116969,"{""type"":""Point"",""coordinates"":[-109.31149989726738,-27.1475907120591]}"
66,1199,864,584,459,0.30612245202064514,408,296,-27.14246788867168,-109.32282474378992,"{""type"":""Point"",""coordinates"":[-109.32282226355646,-27.14247797852722]}"
79,4300,4154,4408,4147,8.432719041593373E-4,2882,1743,-27.13240825652518,-109.33457659535624,"{""type"":""Point"",""coordinates"":[-109.33461261813423,-27.132404020376782]}"
104,1127,736,535,389,0.30844444036483765,377,295,-27.14342559539886,-109.31988452015436,"{""type"":""Point"",""coordinates"":[-109.31986417054945,-27.143431620055246]}"
132,1270,808,539,416,0.3202614486217499,341,244,-27.142899357780117,-109.31363700719837,"{""type"":""Point"",""coordinates"":[-109.31358760573367,-27.142854965024913]}"
156,1127,720,538,407,0.27772846817970276,328,246,-27.147881397682994,-109.32264300318003,"{""type"":""Point"",""coordinates"":[-109.32265497239986,-27.14788953420878]}"
158,3177,2848,2829,2783,0.011543243192136288,1516,713,-27.131243218413395,-109.31260136137716,"{""type"":""Point"",""coordinates"":[-109.3126039605635,-27.1312569545241]}"
162,1152,755,582,437,0.26677852869033813,336,258,-27.1469608504002,-109.32114329602457,"{""type"":""Point"",""coordinates"":[-109.32112249131102,-27.146968759032294]}"
172,971,883,864,880,0.001701644971035421,1095,857,-27.142515133029807,-109.34199378909867,"{""type"":""Point"",""coordinates"":[-109.34196104586168,-27.142524086677383]}"
185,1167,850,607,445,0.31274130940437317,410,311,-27.146604740854077,-109.32911947332875,"{""type"":""Point"",""coordinates"":[-109.3291668617497,-27.146563468777334]}"
189,1284,924,637,489,0.30785563588142395,397,290,-27.145129560132947,-109.32651813360745,"{""type"":""Point"",""coordinates"":[-109.32648958500793,-27.145118804625316]}"
196,1153,758,584,446,0.2591361999511719,365,277,-27.144239009218715,-109.31997324728037,"{""type"":""Point"",""coordinates"":[-109.31994428726209,-27.144250292221308]}"
199,756,497,326,403,0.10444444417953491,327,159,-27.124835123831364,-109.32772826189003,"{""type"":""Point"",""coordinates"":[-109.32773127482515,-27.124825581797595]}"
201,3494,3153,3123,3122,0.004940239246934652,2131,1165,-27.135638465687244,-109.35591689566863,"{""type"":""Point"",""coordinates"":[-109.35595984260823,-27.13564051446921]}"
268,1209,1477,2069,1356,0.04271090775728226,2023,1662,-27.13749113758324,-109.32935592203454,"{""type"":""Point"",""coordinates"":[-109.329316110742,-27.13747913076085]}"
341,1191,759,574,467,0.23817291855812073,341,243,-27.14769367093586,-109.32204042047863,"{""type"":""Point"",""coordinates"":[-109.32207493072053,-27.147694038381303]}"
353,1331,1032,624,416,0.4254143536090851,375,255,-27.14171576726742,-109.32031366432344,"{""type"":""Point"",""coordinates"":[-109.32029992109582,-27.141705028109293]}"
360,1144,746,554,398,0.3041957914829254,354,269,-27.14548915201203,-109.31884469433969,"{""type"":""Point"",""coordinates"":[-109.31882844870508,-27.145503051141866]}"
361,1179,852,570,447,0.3117782771587372,386,275,-27.145874367141186,-109.32842406525273,"{""type"":""Point"",""coordinates"":[-109.32845261514129,-27.145905816226332]}"
386,3705,3263,3205,3182,0.012567882426083088,1817,903,-27.132125548742803,-109.33357194377946,"{""type"":""Point"",""coordinates"":[-109.33360104736833,-27.13216813957302]}"
395,1302,823,591,491,0.25266361236572266,377,282,-27.144975456847256,-109.32117297468294,"{""type"":""Point"",""coordinates"":[-109.32117420306565,-27.144944067124243]}"
425,1222,798,558,440,0.2891760766506195,357,274,-27.14391627992124,-109.3156396221432,"{""type"":""Point"",""coordinates"":[-109.3156110924168,-27.14387441527303]}"
430,3140,2985,3196,2966,0.00319274072535336,2738,1927,-27.13454773656829,-109.31719248272913,"{""type"":""Point"",""coordinates"":[-109.31720066535982,-27.134592706908528]}"
453,1209,876,613,519,0.25591397285461426,437,315,-27.14533049081518,-109.32823036836675,"{""type"":""Point"",""coordinates"":[-109.32818533609749,-27.14531517947682]}"
476,1262,797,566,419,0.31085526943206787,363,272,-27.145068115456283,-109.32137338041241,"{""type"":""Point"",""coordinates"":[-109.32132415989922,-27.145050509727696]}"
492,1235,919,583,505,0.2907303273677826,433,333,-27.14403458243346,-109.32552550255083,"{""type"":""Point"",""coordinates"":[-109.32553606096468,-27.14403994665094]}"
566,1078,658,403,294,0.38235294818878174,230,170,-27.144569108592965,-109.30987883537136,"{""type"":""Point"",""coordinates"":[-109.30986216022504,-27.144525559792335]}"
632,774,525,378,518,0.00671140942722559,472,223,-27.12653537130226,-109.32649242036467,"{""type"":""Point"",""coordinates"":[-109.32653539344365,-27.126541069665176]}"
650,1185,934,588,390,0.4108761250972748,318,236,-27.138914035004493,-109.31248615951434,"{""type"":""Point"",""coordinates"":[-109.31253516348993,-27.138882370119646]}"
665,3397,3463,3715,3213,0.037447571754455566,2161,1148,-27.129739338926093,-109.31514597604674,"{""type"":""Point"",""coordinates"":[-109.31511169007345,-27.129708036560746]}"
698,2127,1757,1657,1708,0.014141414314508438,1178,635,-27.13710428645976,-109.31210979101806,"{""type"":""Point"",""coordinates"":[-109.31208128105504,-27.137105910276887]}"
717,1209,755,538,443,0.2604340612888336,318,255,-27.145060384373117,-109.31320098019857,"{""type"":""Point"",""coordinates"":[-109.31316273781168,-27.145014884005924]}"
731,1123,786,551,455,0.26672038435935974,381,278,-27.143243897451708,-109.31978634431721,"{""type"":""Point"",""coordinates"":[-109.31979005535351,-27.14327553919987]}"
737,1376,796,522,407,0.3233582675457001,308,242,-27.14251776225534,-109.31192755807682,"{""type"":""Point"",""coordinates"":[-109.3118997625065,-27.142490764457165]}"
788,1152,855,510,421,0.3401253819465637,326,246,-27.140477284996457,-109.31488406127987,"{""type"":""Point"",""coordinates"":[-109.31488635724328,-27.140445559029025]}"
792,3205,2810,2773,2649,0.029492581263184547,1252,555,-27.128479538484306,-109.31546750269791,"{""type"":""Point"",""coordinates"":[-109.31541943792062,-27.12850468311485]}"
798,2651,2251,2127,2144,0.024345846846699715,1156,651,-27.129400373847382,-109.32453301445955,"{""type"":""Point"",""coordinates"":[-109.32456323099673,-27.12940603846206]}"
832,1148,857,622,435,0.32662537693977356,402,298,-27.14595980559753,-109.32801920802268,"{""type"":""Point"",""coordinates"":[-109.32802930101342,-27.14593189296499]}"
918,1254,811,596,440,0.2965627610683441,380,277,-27.144781160658663,-109.31249890968319,"{""type"":""Point"",""coordinates"":[-109.31245302920787,-27.144811641506156]}"
956,1194,701,512,399,0.27454546093940735,306,246,-27.148113508631393,-109.31941079652691,"{""type"":""Point"",""coordinates"":[-109.31936471539119,-27.14814557931048]}"
966,1252,1024,730,501,0.34295082092285156,415,284,-27.140807278417935,-109.31982279131245,"{""type"":""Point"",""coordinates"":[-109.31984947279662,-27.14083931407298]}"
975,1253,756,548,398,0.31022530794143677,313,249,-27.143322683671588,-109.31131009993297,"{""type"":""Point"",""coordinates"":[-109.31131263069884,-27.143298995369225]}"
1001,1189,783,559,433,0.2878289520740509,344,255,-27.143451733224065,-109.31453675738744,"{""type"":""Point"",""coordinates"":[-109.31458362604062,-27.143437392232407]}"
1067,903,655,522,583,0.05815831944346428,595,357,-27.137883176829046,-109.31683985892515,"{""type"":""Point"",""coordinates"":[-109.31679898418251,-27.13784214138611]}"
1101,1262,933,682,528,0.2772074043750763,442,337,-27.147157021545716,-109.33001933401435,"{""type"":""Point"",""coordinates"":[-109.32997725998597,-27.147156278228437]}"
1129,1142,734,542,443,0.24723874032497406,339,245,-27.148093215879996,-109.32526319218164,"{""type"":""Point"",""coordinates"":[-109.3252804895922,-27.14805585390754]}"
1140,776,507,331,417,0.09740259498357773,342,169,-27.12439470327258,-109.32864270679956,"{""type"":""Point"",""coordinates"":[-109.32866106080542,-27.12435238044826]}"
1144,1354,1025,820,774,0.13952195644378662,827,629,-27.143175379291943,-109.32160345524161,"{""type"":""Point"",""coordinates"":[-109.32155726847158,-27.143169503497333]}"
1192,1133,734,570,407,0.28659069538116455,334,265,-27.14703298401198,-109.31962876080911,"{""type"":""Point"",""coordinates"":[-109.31960522375942,-27.14707400010609]}"
1223,1221,910,597,460,0.32846716046333313,406,304,-27.146891086303913,-109.33042687770678,"{""type"":""Point"",""coordinates"":[-109.33046302952351,-27.146899990433603]}"
1238,1216,741,514,419,0.2775862216949463,334,254,-27.1468454259017,-109.32659346284936,"{""type"":""Point"",""coordinates"":[-109.32661953603375,-27.146848214582867]}"
1242,783,536,351,516,0.01901140622794628,446,204,-27.124593195520536,-109.33015291400316,"{""type"":""Point"",""coordinates"":[-109.33017825576115,-27.12455714205496]}"
1258,786,523,342,465,0.05870445445179939,361,171,-27.12113259660117,-109.32001604262625,"{""type"":""Point"",""coordinates"":[-109.31998005744599,-27.121127346653445]}"
1276,2962,2545,2567,2339,0.04217854142189026,1365,767,-27.13673117385346,-109.31110652043029,"{""type"":""Point"",""coordinates"":[-109.3110975048179,-27.136741267146924]}"
1283,1153,848,569,497,0.26096653938293457,390,301,-27.143301784116638,-109.32462838195424,"{""type"":""Point"",""coordinates"":[-109.32459964532434,-27.143307949347953]}"
1287,1261,795,564,458,0.2689545154571533,342,238,-27.144246968581463,-109.31311230207517,"{""type"":""Point"",""coordinates"":[-109.31308603525636,-27.144247271768705]}"
1288,1257,808,549,415,0.32134097814559937,336,259,-27.143354218112492,-109.31393285890726,"{""type"":""Point"",""coordinates"":[-109.31392609309535,-27.143344777871846]}"
1293,1110,633,457,354,0.28267475962638855,217,155,-27.14604458737867,-109.31247992622441,"{""type"":""Point"",""coordinates"":[-109.31245006324878,-27.146016682441516]}"
1315,750,503,317,492,0.011055276729166508,309,156,-27.144786826946156,-109.35093998951088,"{""type"":""Point"",""coordinates"":[-109.35094158593316,-27.14483006070997]}"
1341,1982,1667,1320,1029,0.2366468906402588,428,288,-27.147256868953182,-109.33082503028396,"{""type"":""Point"",""coordinates"":[-109.33079355445564,-27.147218192020095]}"
1378,813,549,365,511,0.035849057137966156,417,209,-27.121204734210952,-109.31850185655978,"{""type"":""Point"",""coordinates"":[-109.31850200069051,-27.12117808092718]}"
