system:index,B2,B3,B4,B8,NDWI,SWIR1,SWIR2,latitude,longitude,.geo
298,698,414,226,339,0.09960159659385681,126,52,38.5819449310842,-28.711501114938443,"{""type"":""Point"",""coordinates"":[-28.71153750123536,38.5819049307066]}"
412,709,433,236,371,0.07711442559957504,258,88,38.5818406432035,-28.71861625024479,"{""type"":""Point"",""coordinates"":[-28.718603457045987,38.58183143953243]}"
528,701,409,219,247,0.24695122241973877,81,31,38.5826706042488,-28.711173938029514,"{""type"":""Point"",""coordinates"":[-28.711149526775454,38.58263746630002]}"
1397,743,452,238,255,0.2786421477794647,67,43,38.61526001666696,-28.743762475505957,"{""type"":""Point"",""coordinates"":[-28.74379712786574,38.615260473328554]}"
1457,750,446,246,267,0.2510519027709961,89,34,38.61481133958444,-28.743636757789023,"{""type"":""Point"",""coordinates"":[-28.743689274385474,38.614840951898756]}"
1566,681,419,221,317,0.13858695328235626,155,65,38.58218209750791,-28.707603518192368,"{""type"":""Point"",""coordinates"":[-28.70759298038746,38.58219211178068]}"
1827,730,452,242,378,0.0891566276550293,169,83,38.579700638161086,-28.717072880733415,"{""type"":""Point"",""coordinates"":[-28.717022114725566,38.5797254726742]}"
