system:index,B2,B3,B4,B8,NDWI,SWIR1,SWIR2,latitude,longitude,.geo
0,1226,903,745,578,0.2194463163614273,559,415,-7.305345157664321,72.3806582527094,"{""type"":""Point"",""coordinates"":[72.38063659631389,-7.305317212050705]}"
2,1564,1181,869,657,0.2850925028324127,689,523,-7.291877636434832,72.41150806734878,"{""type"":""Point"",""coordinates"":[72.41147124949657,-7.29190246642715]}"
4,1138,818,661,513,0.22915101051330566,580,454,-7.343276787131898,72.40795305823836,"{""type"":""Point"",""coordinates"":[72.40797580467537,-7.343273840832117]}"
5,1268,941,788,621,0.20486555993556976,524,386,-7.348726378438184,72.38158142229612,"{""type"":""Point"",""coordinates"":[72.38161495809052,-7.348703109140689]}"
6,1220,890,668,590,0.20270270109176636,579,443,-7.325748550253468,72.40850708177017,"{""type"":""Point"",""coordinates"":[72.40846753001422,-7.32570669644179]}"
7,3449,3744,2382,950,0.5952279567718506,819,615,-7.341161752508795,72.43303820698685,"{""type"":""Point"",""coordinates"":[72.43300482635445,-7.34116368042838]}"
8,3297,3379,1944,723,0.6474890112876892,638,478,-7.3317656561671605,72.43345414453738,"{""type"":""Point"",""coordinates"":[72.43343087324742,-7.331789085606659]}"
9,1374,1041,851,659,0.22470587491989136,613,451,-7.323056869400655,72.41187156250756,"{""type"":""Point"",""coordinates"":[72.41185167434642,-7.323052743930957]}"
10,1184,907,818,551,0.24417009949684143,621,468,-7.306348614542862,72.38228151537376,"{""type"":""Point"",""coordinates"":[72.3822645797805,-7.306376494361725]}"
11,1240,950,804,600,0.22580644488334656,624,494,-7.327644490403684,72.39256605700263,"{""type"":""Point"",""coordinates"":[72.3925933401136,-7.327684789944135]}"
12,1146,900,814,540,0.25,607,480,-7.313324210747221,72.36975089294181,"{""type"":""Point"",""coordinates"":[72.3697953732999,-7.3133068419558755]}"
13,1376,1028,850,682,0.20233918726444244,662,516,-7.3437419451739325,72.42596307318684,"{""type"":""Point"",""coordinates"":[72.42593244029098,-7.343757085620849]}"
14,1349,1009,840,677,0.19691577553749084,672,496,-7.278730247628689,72.41963831079144,"{""type"":""Point"",""coordinates"":[72.4196506478728,-7.27876279249379]}"
16,1266,949,735,640,0.19446192681789398,611,448,-7.339082841225706,72.40155083977004,"{""type"":""Point"",""coordinates"":[72.40151675209597,-7.339056746404696]}"
17,3110,3339,2230,1551,0.3656441569328308,1111,777,-7.348941079476203,72.43435132106644,"{""type"":""Point"",""coordinates"":[72.43433573967907,-7.348903987986047]}"
18,1314,989,790,662,0.1980617791414261,629,469,-7.283070610831752,72.43599481966085,"{""type"":""Point"",""coordinates"":[72.43599390664346,-7.283061890623812]}"
19,1469,1083,810,627,0.2666666805744171,645,497,-7.293474408541586,72.42208808635264,"{""type"":""Point"",""coordinates"":[72.4220764105749,-7.293463767283007]}"
20,1747,1506,1477,1138,0.13918305933475494,1146,875,-7.330609901606135,72.37417504358547,"{""type"":""Point"",""coordinates"":[72.37418952399784,-7.3306257380349304]}"
21,1434,1140,827,585,0.321739137172699,582,446,-7.3355206731779,72.42637242607242,"{""type"":""Point"",""coordinates"":[72.42639856028717,-7.335487639705435]}"
22,1232,916,734,618,0.19426336884498596,525,392,-7.323836077617123,72.39032544898078,"{""type"":""Point"",""coordinates"":[72.39028164553345,-7.323828848092079]}"
23,1260,976,823,622,0.22152690589427948,650,486,-7.3310735989003915,72.39173149644384,"{""type"":""Point"",""coordinates"":[72.39177571477907,-7.331058499293591]}"
24,3057,3382,2298,882,0.5863039493560791,635,383,-7.3467691641144475,72.43382068070946,"{""type"":""Point"",""coordinates"":[72.4338246323409,-7.346774125179832]}"
25,1243,942,800,598,0.22337661683559418,597,432,-7.307451356861887,72.3854428196535,"{""type"":""Point"",""coordinates"":[72.38541734040828,-7.307475166008451]}"
26,1478,1121,886,725,0.21451787650585175,692,527,-7.304049718459875,72.43831912467351,"{""type"":""Point"",""coordinates"":[72.4383433338656,-7.304038722869169]}"
27,1361,1006,837,655,0.2113184779882431,651,492,-7.27748101128582,72.40661309715779,"{""type"":""Point"",""coordinates"":[72.40661531128436,-7.277450938346337]}"
28,1311,994,790,669,0.1954299509525299,584,421,-7.335246102619524,72.3944225783944,"{""type"":""Point"",""coordinates"":[72.39438638793075,-7.335256043468021]}"
29,1252,917,746,624,0.19013626873493195,555,445,-7.33183743163529,72.39878700119343,"{""type"":""Point"",""coordinates"":[72.39876465281249,-7.331812639100245]}"
30,1209,882,691,568,0.21655172413793103,547,405,-7.29888728694156,72.37345551953968,"{""type"":""Point"",""coordinates"":[72.37341588433925,-7.298880214905205]}"
31,1168,895,772,543,0.2447844296693802,580,435,-7.328779693766328,72.40133908780406,"{""type"":""Point"",""coordinates"":[72.40133413201629,-7.328749516734646]}"
34,1193,941,827,596,0.22446323931217194,621,481,-7.306902350723453,72.38426942964388,"{""type"":""Point"",""coordinates"":[72.38431142613102,-7.306894410172699]}"
36,2692,2368,1029,717,0.5351701974868774,730,556,-7.326918345741981,72.4391842938571,"{""type"":""Point"",""coordinates"":[72.43915321499973,-7.326896621040714]}"
37,1626,1254,895,716,0.2730964422225952,681,517,-7.293438203406131,72.40000494072554,"{""type"":""Point"",""coordinates"":[72.40000739156552,-7.293430455749641]}"
40,1607,1225,903,741,0.24618515372276306,733,548,-7.2893131492149115,72.40554950271351,"{""type"":""Point"",""coordinates"":[72.40559447276803,-7.289329283144754]}"
41,1230,924,792,590,0.2206076681613922,555,405,-7.345877486318611,72.40449838131168,"{""type"":""Point"",""coordinates"":[72.4045224297112,-7.345908746244835]}"
42,1330,995,771,612,0.23833230137825012,586,442,-7.295972571208071,72.4323010938718,"{""type"":""Point"",""coordinates"":[72.43230030086697,-7.295970358147406]}"
43,1340,989,793,657,0.2017010897397995,659,494,-7.283170209578422,72.4376233480759,"{""type"":""Point"",""coordinates"":[72.43761286723661,-7.283156450737549]}"
44,1330,1001,843,647,0.21480582654476166,649,493,-7.34479365567306,72.38902661789469,"{""type"":""Point"",""coordinates"":[72.38904894977483,-7.344789376328807]}"
45,1319,1027,848,644,0.22920407354831696,662,485,-7.289223291774885,72.43731742100708,"{""type"":""Point"",""coordinates"":[72.43727816836655,-7.2892639555935625]}"
46,1771,1365,862,676,0.337579607963562,668,516,-7.331170636489045,72.42422508396207,"{""type"":""Point"",""coordinates"":[72.42422092471458,-7.3311574124601195]}"
47,1276,982,886,679,0.18242022395133972,576,427,-7.33522035407213,72.3899876069133,"{""type"":""Point"",""coordinates"":[72.3899547670727,-7.335200694073641]}"
48,1134,892,756,542,0.24407252669334412,488,372,-7.334306836135829,72.37279570216712,"{""type"":""Point"",""coordinates"":[72.37283217067373,-7.334332214043654]}"
49,1356,1020,815,665,0.21068249642848969,621,459,-7.2934206692623365,72.42851435766816,"{""type"":""Point"",""coordinates"":[72.42847112667245,-7.293446098142498]}"
50,1385,1052,872,694,0.2050400972366333,685,519,-7.279452961686894,72.40379619246053,"{""type"":""Point"",""coordinates"":[72.40380231361928,-7.279496888803792]}"
51,2580,2622,1885,1209,0.3688332140445709,936,640,-7.314400736321162,72.43101920117326,"{""type"":""Point"",""coordinates"":[72.4310148295993,-7.314370811653157]}"
52,3307,3606,2446,951,0.5826201438903809,881,652,-7.285840295574631,72.38312478833626,"{""type"":""Point"",""coordinates"":[72.3831447366959,-7.285821187709844]}"
53,1322,981,786,627,0.22014924883842468,637,480,-7.282947888411126,72.43029370474572,"{""type"":""Point"",""coordinates"":[72.4302876869493,-7.282928125670702]}"
55,1158,900,738,539,0.25086864829063416,573,439,-7.330303853419259,72.39924846664735,"{""type"":""Point"",""coordinates"":[72.39928290695708,-7.330267634833056]}"
58,1133,893,791,518,0.26576894521713257,584,431,-7.348166965079565,72.40973503584695,"{""type"":""Point"",""coordinates"":[72.40975561420505,-7.348157221500323]}"
60,1350,1003,827,660,0.2062537521123886,681,516,-7.283606143983523,72.43481520656167,"{""type"":""Point"",""coordinates"":[72.43478583047407,-7.283645756711918]}"
61,1305,1033,878,724,0.175867959856987,622,468,-7.3279103329041355,72.3916593984879,"{""type"":""Point"",""coordinates"":[72.391655242797,-7.327896618614551]}"
62,1142,827,715,523,0.22518518567085266,565,427,-7.319566391108635,72.38645839187343,"{""type"":""Point"",""coordinates"":[72.38648655841047,-7.319595213362762]}"
63,2605,2415,1109,767,0.517913281917572,761,584,-7.348152614436342,72.43870072994045,"{""type"":""Point"",""coordinates"":[72.43868851367827,-7.348190374071725]}"
64,1267,907,711,579,0.22072678804397583,615,470,-7.335770493123279,72.42265987328953,"{""type"":""Point"",""coordinates"":[72.42263343332841,-7.335763951337402]}"
65,1225,913,734,608,0.20052596975673898,570,443,-7.304781938124254,72.37704131081436,"{""type"":""Point"",""coordinates"":[72.3770832005484,-7.304750620855732]}"
66,1309,985,807,684,0.1803475171327591,633,465,-7.3430948344291975,72.42343233448518,"{""type"":""Point"",""coordinates"":[72.42340206368385,-7.343075896994942]}"
67,1534,1158,806,586,0.3279816508293152,638,485,-7.3139999137936265,72.43998212200876,"{""type"":""Point"",""coordinates"":[72.44001636261662,-7.3139690672663455]}"
68,1478,1094,860,803,0.15340010821819305,651,445,-7.343084642108255,72.3903943076978,"{""type"":""Point"",""coordinates"":[72.39035071974305,-7.343059868563608]}"
69,1257,966,784,605,0.22978994250297546,652,483,-7.342140558919756,72.39899867056951,"{""type"":""Point"",""coordinates"":[72.39898969532328,-7.342170430979719]}"
