system:index,B2,B3,B4,B8,NDWI,SWIR1,SWIR2,latitude,longitude,.geo
5,3816,3230,3181,2963,0.043113190680742264,1532,910,-27.14814465963523,-109.37571193878945,"{""type"":""Point"",""coordinates"":[-109.37566958601651,-27.148105618296785]}"
67,2365,2835,3857,2707,0.0230963546782732,2508,2011,-27.113389240140094,-109.35210668095527,"{""type"":""Point"",""coordinates"":[-109.35215478783812,-27.113374629782708]}"
75,3368,3519,3792,2959,0.08644643425941467,1947,1091,-27.14104891673165,-109.37874046132306,"{""type"":""Point"",""coordinates"":[-109.37870099003845,-27.141090416311222]}"
85,3491,3248,3329,2843,0.06649154424667358,1387,803,-27.12669049327965,-109.37037277207449,"{""type"":""Point"",""coordinates"":[-109.37033571544235,-27.126649573520403]}"
109,3425,2991,2865,2659,0.05876106023788452,1073,565,-27.142573804968954,-109.37791129385074,"{""type"":""Point"",""coordinates"":[-109.37794662509717,-27.142532915492595]}"
138,3723,3287,3244,2967,0.05116725340485573,1506,803,-27.137224688505185,-109.37586983866935,"{""type"":""Point"",""coordinates"":[-109.37582781084555,-27.13723760374867]}"
268,5886,5734,5919,5720,0.0012222804361954331,2327,1085,-27.13749113758324,-109.32935592203454,"{""type"":""Point"",""coordinates"":[-109.329316110742,-27.13747913076085]}"
312,6256,6207,6432,6202,4.0293336496688426E-4,2430,1603,-27.141389127229836,-109.36915065460052,"{""type"":""Point"",""coordinates"":[-109.36917543185538,-27.141351252352216]}"
354,2691,2328,2183,2058,0.06155950576066971,578,258,-27.14763350933286,-109.37834271509993,"{""type"":""Point"",""coordinates"":[-109.37837566582314,-27.147617365905557]}"
367,5488,5396,5900,5388,7.418397581204772E-4,4051,2804,-27.140208867071486,-109.33779038287132,"{""type"":""Point"",""coordinates"":[-109.33778364805785,-27.140234954761247]}"
382,2483,2222,2176,2121,0.023255813866853714,598,242,-27.14792289640385,-109.37995293112041,"{""type"":""Point"",""coordinates"":[-109.37990999761355,-27.147894041477674]}"
418,3072,2666,2609,2382,0.05625990405678749,770,696,-27.14313510226314,-109.37961840927909,"{""type"":""Point"",""coordinates"":[-109.37963160495552,-27.143125237058722]}"
422,3461,2697,2484,2497,0.03850596770644188,848,410,-27.13958396588049,-109.37694554481061,"{""type"":""Point"",""coordinates"":[-109.37690285891942,-27.139540164499902]}"
434,5409,5599,6010,5444,0.014036040753126144,3196,2222,-27.14559552845127,-109.37383175491036,"{""type"":""Point"",""coordinates"":[-109.37383215139482,-27.145594074476573]}"
562,3315,2898,2829,2502,0.07333333045244217,1155,800,-27.147162441796866,-109.37663423521941,"{""type"":""Point"",""coordinates"":[-109.37658666533345,-27.14714984034127]}"
568,3499,3097,3082,2765,0.056635960936546326,1107,548,-27.137326604411363,-109.37687726608468,"{""type"":""Point"",""coordinates"":[-109.37688669860871,-27.137352244744566]}"
593,3670,3280,3256,3049,0.03649865835905075,1053,510,-27.13908558875584,-109.38068573869606,"{""type"":""Point"",""coordinates"":[-109.38066985870869,-27.139044116865065]}"
636,3803,3343,3487,3032,0.04878431558609009,1812,1432,-27.147961828828667,-109.3755127839962,"{""type"":""Point"",""coordinates"":[-109.37547113329373,-27.147942334774488]}"
669,3386,2938,2837,2595,0.06199168786406517,1073,565,-27.14257263901658,-109.37781041586032,"{""type"":""Point"",""coordinates"":[-109.37780827103492,-27.142557120345543]}"
673,2750,2393,2270,2166,0.049791619181632996,484,187,-27.146470777324794,-109.37926758978638,"{""type"":""Point"",""coordinates"":[-109.37930373948487,-27.146454101160923]}"
